Operacao,Estrutura,k,Esparsidade,Tempo_ns,Memoria_Bytes
ESCALAR,Hash,11,2.75e-08,49672,0
ESCALAR,Tree,11,2.75e-08,498,0
SET,Hash,11,2.75e-08,3436,641616
SET,Tree,11,2.75e-08,6704,3168
GET,Hash,11,2.75e-08,551,0
GET,Tree,11,2.75e-08,1169,0
SOMA,Hash,12,3e-08,304767,643744
SOMA,Tree,12,3e-08,15812,6912
MULT,Hash,12,3e-08,286665,640000
MULT,Tree,12,3e-08,1420,0
TRANS,Hash,12,3e-08,20,0
TRANS,Tree,12,3e-08,21,0
ESCALAR,Hash,12,3e-08,49746,0
ESCALAR,Tree,12,3e-08,485,0
SET,Hash,12,3e-08,3891,641744
SET,Tree,12,3e-08,7661,3456
GET,Hash,12,3e-08,608,0
GET,Tree,12,3e-08,1362,0
SOMA,Hash,13,3.25e-08,307967,644000
SOMA,Tree,13,3.25e-08,17532,7488
MULT,Hash,13,3.25e-08,287615,640000
MULT,Tree,13,3.25e-08,1499,0
TRANS,Hash,13,3.25e-08,19,0
TRANS,Tree,13,3.25e-08,26,0
ESCALAR,Hash,13,3.25e-08,49744,0
ESCALAR,Tree,13,3.25e-08,509,0
SET,Hash,13,3.25e-08,4166,641872
SET,Tree,13,3.25e-08,8145,3744
GET,Hash,13,3.25e-08,679,0
GET,Tree,13,3.25e-08,1488,0
SOMA,Hash,14,3.5e-08,301704,644256
SOMA,Tree,14,3.5e-08,18905,7976
MULT,Hash,14,3.5e-08,219957,640000
MULT,Tree,14,3.5e-08,1690,0
TRANS,Hash,14,3.5e-08,20,0
TRANS,Tree,14,3.5e-08,25,0
ESCALAR,Hash,14,3.5e-08,49722,0
ESCALAR,Tree,14,3.5e-08,466,0
SET,Hash,14,3.5e-08,3918,642464
SET,Tree,14,3.5e-08,8414,4032
GET,Hash,14,3.5e-08,552,0
GET,Tree,14,3.5e-08,1557,0
SOMA,Hash,15,3.75e-08,280926,645456
SOMA,Tree,15,3.75e-08,19841,8640
MULT,Hash,15,3.75e-08,220240,640000
MULT,Tree,15,3.75e-08,1699,0
TRANS,Hash,15,3.75e-08,20,0
TRANS,Tree,15,3.75e-08,21,0
ESCALAR,Hash,15,3.75e-08,50153,0
ESCALAR,Tree,15,3.75e-08,463,0
