Operacao,Estrutura,k,Esparsidade,Tempo_ns,Memoria_Bytes
SET,Tree,52,1.3e-07,33516,14976
GET,Hash,52,1.3e-07,2261,0
GET,Tree,52,1.3e-07,6644,0
SOMA,Hash,53,1.325e-07,306750,657216
SOMA,Tree,53,1.325e-07,76902,30440
MULT,Hash,53,1.325e-07,220990,640000
MULT,Tree,53,1.325e-07,7474,0
TRANS,Hash,53,1.325e-07,21,0
TRANS,Tree,53,1.325e-07,25,0
ESCALAR,Hash,53,1.325e-07,50026,0
ESCALAR,Tree,53,1.325e-07,1547,0
SET,Hash,53,1.325e-07,15658,648400
SET,Tree,53,1.325e-07,35946,15264
GET,Hash,53,1.325e-07,2583,0
GET,Tree,53,1.325e-07,7156,0
SOMA,Hash,54,1.35e-07,307417,657472
SOMA,Tree,54,1.35e-07,76354,30928
MULT,Hash,54,1.35e-07,221559,640000
MULT,Tree,54,1.35e-07,7779,0
TRANS,Hash,54,1.35e-07,20,0
TRANS,Tree,54,1.35e-07,22,0
ESCALAR,Hash,54,1.35e-07,50057,0
ESCALAR,Tree,54,1.35e-07,1583,0
SET,Hash,54,1.35e-07,14788,648528
SET,Tree,54,1.35e-07,34278,15552
GET,Hash,54,1.35e-07,2305,0
GET,Tree,54,1.35e-07,6911,0
SOMA,Hash,55,1.375e-07,310195,657728
SOMA,Tree,55,1.375e-07,78164,31680
MULT,Hash,55,1.375e-07,221533,640000
MULT,Tree,55,1.375e-07,7866,0
TRANS,Hash,55,1.375e-07,20,0
TRANS,Tree,55,1.375e-07,21,0
ESCALAR,Hash,55,1.375e-07,50145,0
ESCALAR,Tree,55,1.375e-07,1743,0
SET,Hash,55,1.375e-07,16241,648656
SET,Tree,55,1.375e-07,37622,15840
GET,Hash,55,1.375e-07,2793,0
GET,Tree,55,1.375e-07,8369,0
SOMA,Hash,56,1.4e-07,304356,657984
SOMA,Tree,56,1.4e-07,79598,32256
MULT,Hash,56,1.4e-07,221587,640000
MULT,Tree,56,1.4e-07,8266,0
TRANS,Hash,56,1.4e-07,19,0
TRANS,Tree,56,1.4e-07,21,0
ESCALAR,Hash,56,1.4e-07,50215,0
ESCALAR,Tree,56,1.4e-07,1836,0
SET,Hash,56,1.4e-07,15587,648784
SET,Tree,56,1.4e-07,34843,16128
GET,Hash,56,1.4e-07,2448,0
GET,Tree,56,1.4e-07,7051,0
SOMA,Hash,57,1.425e-07,305038,658240
SOMA,Tree,57,1.425e-07,79753,32832
MULT,Hash,57,1.425e-07,227311,640000
MULT,Tree,57,1.425e-07,8014,0
TRANS,Hash,57,1.425e-07,20,0
TRANS,Tree,57,1.425e-07,22,0
ESCALAR,Hash,57,1.425e-07,50145,0
ESCALAR,Tree,57,1.425e-07,1734,0
SET,Hash,57,1.425e-07,15861,648912
SET,Tree,57,1.425e-07,36771,16416
GET,Hash,57,1.425e-07,2440,0
GET,Tree,57,1.425e-07,7386,0
SOMA,Hash,58,1.45e-07,304760,658496
SOMA,Tree,58,1.45e-07,85860,33320
MULT,Hash,58,1.45e-07,220931,640000
MULT,Tree,58,1.45e-07,8462,0
TRANS,Hash,58,1.45e-07,20,0
TRANS,Tree,58,1.45e-07,22,0
ESCALAR,Hash,58,1.45e-07,50158,0
ESCALAR,Tree,58,1.45e-07,1834,0
SET,Hash,58,1.45e-07,16677,649040
SET,Tree,58,1.45e-07,37280,16704
GET,Hash,58,1.45e-07,2605,0
GET,Tree,58,1.45e-07,7620,0
SOMA,Hash,59,1.475e-07,308613,658752
SOMA,Tree,59,1.475e-07,84128,33984
MULT,Hash,59,1.475e-07,222206,640000
MULT,Tree,59,1.475e-07,8049,0
TRANS,Hash,59,1.475e-07,21,0
TRANS,Tree,59,1.475e-07,30,0
ESCALAR,Hash,59,1.475e-07,50134,0
ESCALAR,Tree,59,1.475e-07,1717,0
SET,Hash,59,1.475e-07,17207,649168
SET,Tree,59,1.475e-07,38081,16904
GET,Hash,59,1.475e-07,2866,0
GET,Tree,59,1.475e-07,7658,0
SOMA,Hash,60,1.5e-07,307983,659008
SOMA,Tree,60,1.5e-07,85489,34560
MULT,Hash,60,1.5e-07,220902,640000
MULT,Tree,60,1.5e-07,8436,0
TRANS,Hash,60,1.5e-07,20,0
TRANS,Tree,60,1.5e-07,26,0
ESCALAR,Hash,60,1.5e-07,50113,0
ESCALAR,Tree,60,1.5e-07,1851,0
SET,Hash,60,1.5e-07,17972,651328
SET,Tree,60,1.5e-07,38917,17280
GET,Hash,60,1.5e-07,2581,0
GET,Tree,60,1.5e-07,7756,0
SOMA,Hash,61,1.525e-07,311065,659264
SOMA,Tree,61,1.525e-07,88687,35048
MULT,Hash,61,1.525e-07,221949,640336
MULT,Tree,61,1.525e-07,8728,288
TRANS,Hash,61,1.525e-07,19,0
TRANS,Tree,61,1.525e-07,20,0
ESCALAR,Hash,61,1.525e-07,50198,0
ESCALAR,Tree,61,1.525e-07,1841,0
SET,Hash,61,1.525e-07,18147,651456
SET,Tree,61,1.525e-07,40620,17568
GET,Hash,61,1.525e-07,2545,0
GET,Tree,61,1.525e-07,7955,0
SOMA,Hash,62,1.55e-07,307650,659520
SOMA,Tree,62,1.55e-07,93495,35712
MULT,Hash,62,1.55e-07,221057,640000
MULT,Tree,62,1.55e-07,9263,0
TRANS,Hash,62,1.55e-07,20,0
TRANS,Tree,62,1.55e-07,24,0
ESCALAR,Hash,62,1.55e-07,50148,0
ESCALAR,Tree,62,1.55e-07,1980,0
SET,Hash,62,1.55e-07,19210,651584
SET,Tree,62,1.55e-07,41625,17856
GET,Hash,62,1.55e-07,2795,0
GET,Tree,62,1.55e-07,7956,0
SOMA,Hash,63,1.575e-07,307140,659776
SOMA,Tree,63,1.575e-07,90983,36200
MULT,Hash,63,1.575e-07,221392,640000
MULT,Tree,63,1.575e-07,8986,0
TRANS,Hash,63,1.575e-07,20,0
TRANS,Tree,63,1.575e-07,24,0
ESCALAR,Hash,63,1.575e-07,50510,0
ESCALAR,Tree,63,1.575e-07,1889,0
SET,Hash,63,1.575e-07,19187,651712
SET,Tree,63,1.575e-07,40542,18056
GET,Hash,63,1.575e-07,2771,0
GET,Tree,63,1.575e-07,8477,0
SOMA,Hash,64,1.6e-07,309304,664144
SOMA,Tree,64,1.6e-07,95863,36864
MULT,Hash,64,1.6e-07,222730,640000
MULT,Tree,64,1.6e-07,8883,0
TRANS,Hash,64,1.6e-07,20,0
TRANS,Tree,64,1.6e-07,22,0
ESCALAR,Hash,64,1.6e-07,50044,0
ESCALAR,Tree,64,1.6e-07,1865,0
SET,Hash,64,1.6e-07,19948,651840
SET,Tree,64,1.6e-07,41539,18432
GET,Hash,64,1.6e-07,2689,0
GET,Tree,64,1.6e-07,8584,0
SOMA,Hash,65,1.625e-07,314159,664400
SOMA,Tree,65,1.625e-07,93755,37352
MULT,Hash,65,1.625e-07,221124,640000
MULT,Tree,65,1.625e-07,9488,0
TRANS,Hash,65,1.625e-07,20,0
TRANS,Tree,65,1.625e-07,27,0
ESCALAR,Hash,65,1.625e-07,50446,0
ESCALAR,Tree,65,1.625e-07,1897,0
SET,Hash,65,1.625e-07,19719,651968
SET,Tree,65,1.625e-07,42619,18720
GET,Hash,65,1.625e-07,2421,0
GET,Tree,65,1.625e-07,8426,0
SOMA,Hash,66,1.65e-07,311478,664656
SOMA,Tree,66,1.65e-07,95875,38016
MULT,Hash,66,1.65e-07,221140,640000
MULT,Tree,66,1.65e-07,9197,0
TRANS,Hash,66,1.65e-07,20,0
TRANS,Tree,66,1.65e-07,27,0
ESCALAR,Hash,66,1.65e-07,50129,0
ESCALAR,Tree,66,1.65e-07,1961,0
SET,Hash,66,1.65e-07,19054,652096
SET,Tree,66,1.65e-07,42945,19008
GET,Hash,66,1.65e-07,2396,0
GET,Tree,66,1.65e-07,8778,0
SOMA,Hash,67,1.675e-07,313370,664912
SOMA,Tree,67,1.675e-07,97159,38504
MULT,Hash,67,1.675e-07,223881,640000
MULT,Tree,67,1.675e-07,9292,0
TRANS,Hash,67,1.675e-07,20,0
TRANS,Tree,67,1.675e-07,29,0
ESCALAR,Hash,67,1.675e-07,50208,0
ESCALAR,Tree,67,1.675e-07,2153,0
SET,Hash,67,1.675e-07,19403,652224
SET,Tree,67,1.675e-07,44158,19296
GET,Hash,67,1.675e-07,2555,0
GET,Tree,67,1.675e-07,9081,0
SOMA,Hash,68,1.7e-07,312394,665168
SOMA,Tree,68,1.7e-07,99675,39080
MULT,Hash,68,1.7e-07,221146,640000
MULT,Tree,68,1.7e-07,9973,0
TRANS,Hash,68,1.7e-07,19,0
TRANS,Tree,68,1.7e-07,27,0
ESCALAR,Hash,68,1.7e-07,50220,0
ESCALAR,Tree,68,1.7e-07,2143,0
SET,Hash,68,1.7e-07,21012,652352
SET,Tree,68,1.7e-07,47116,19584
GET,Hash,68,1.7e-07,3062,0
GET,Tree,68,1.7e-07,10497,0
SOMA,Hash,69,1.725e-07,313138,665424
SOMA,Tree,69,1.725e-07,100061,39656
MULT,Hash,69,1.725e-07,222020,640464
MULT,Tree,69,1.725e-07,11054,576
TRANS,Hash,69,1.725e-07,20,0
TRANS,Tree,69,1.725e-07,22,0
ESCALAR,Hash,69,1.725e-07,50199,0
ESCALAR,Tree,69,1.725e-07,2078,0
SET,Hash,69,1.725e-07,20405,652480
SET,Tree,69,1.725e-07,44940,19784
GET,Hash,69,1.725e-07,2986,0
GET,Tree,69,1.725e-07,8872,0
SOMA,Hash,70,1.75e-07,317905,665680
SOMA,Tree,70,1.75e-07,99267,40320
MULT,Hash,70,1.75e-07,221272,640000
MULT,Tree,70,1.75e-07,10338,0
TRANS,Hash,70,1.75e-07,19,0
TRANS,Tree,70,1.75e-07,19,0
ESCALAR,Hash,70,1.75e-07,50184,0
ESCALAR,Tree,70,1.75e-07,2113,0
SET,Hash,70,1.75e-07,21725,652608
SET,Tree,70,1.75e-07,46355,20160
GET,Hash,70,1.75e-07,3028,0
GET,Tree,70,1.75e-07,9469,0
SOMA,Hash,71,1.775e-07,316437,665936
SOMA,Tree,71,1.775e-07,103343,40720
MULT,Hash,71,1.775e-07,224082,640000
MULT,Tree,71,1.775e-07,9992,0
TRANS,Hash,71,1.775e-07,21,0
TRANS,Tree,71,1.775e-07,21,0
ESCALAR,Hash,71,1.775e-07,50412,0
ESCALAR,Tree,71,1.775e-07,2090,0
SET,Hash,71,1.775e-07,20901,652736
SET,Tree,71,1.775e-07,45780,20360
GET,Hash,71,1.775e-07,2978,0
GET,Tree,71,1.775e-07,9611,0
SOMA,Hash,72,1.8e-07,315070,666192
SOMA,Tree,72,1.8e-07,105510,41472
MULT,Hash,72,1.8e-07,221832,640000
MULT,Tree,72,1.8e-07,10565,0
TRANS,Hash,72,1.8e-07,20,0
TRANS,Tree,72,1.8e-07,25,0
ESCALAR,Hash,72,1.8e-07,50325,0
ESCALAR,Tree,72,1.8e-07,2186,0
SET,Hash,72,1.8e-07,20944,652864
SET,Tree,72,1.8e-07,46617,20736
GET,Hash,72,1.8e-07,2622,0
GET,Tree,72,1.8e-07,9717,0
SOMA,Hash,73,1.825e-07,316513,666448
SOMA,Tree,73,1.825e-07,105237,42048
MULT,Hash,73,1.825e-07,222506,640336
MULT,Tree,73,1.825e-07,10545,288
TRANS,Hash,73,1.825e-07,21,0
TRANS,Tree,73,1.825e-07,23,0
ESCALAR,Hash,73,1.825e-07,50322,0
ESCALAR,Tree,73,1.825e-07,2255,0
SET,Hash,73,1.825e-07,21385,652992
SET,Tree,73,1.825e-07,47618,21024
GET,Hash,73,1.825e-07,2820,0
GET,Tree,73,1.825e-07,10031,0
SOMA,Hash,74,1.85e-07,315576,666704
SOMA,Tree,74,1.85e-07,106136,42536
MULT,Hash,74,1.85e-07,221931,640000
MULT,Tree,74,1.85e-07,10658,0
TRANS,Hash,74,1.85e-07,20,0
TRANS,Tree,74,1.85e-07,22,0
ESCALAR,Hash,74,1.85e-07,50376,0
ESCALAR,Tree,74,1.85e-07,2177,0
SET,Hash,74,1.85e-07,21955,653120
SET,Tree,74,1.85e-07,49947,21312
GET,Hash,74,1.85e-07,3155,0
GET,Tree,74,1.85e-07,10059,0
SOMA,Hash,75,1.875e-07,314610,666960
SOMA,Tree,75,1.875e-07,108743,43200
MULT,Hash,75,1.875e-07,222159,640000
MULT,Tree,75,1.875e-07,11224,0
TRANS,Hash,75,1.875e-07,20,0
TRANS,Tree,75,1.875e-07,22,0
ESCALAR,Hash,75,1.875e-07,50365,0
ESCALAR,Tree,75,1.875e-07,2283,0
SET,Hash,75,1.875e-07,21156,653248
SET,Tree,75,1.875e-07,49806,21424
GET,Hash,75,1.875e-07,3439,0
GET,Tree,75,1.875e-07,10343,0
SOMA,Hash,76,1.9e-07,337618,667216
SOMA,Tree,76,1.9e-07,109605,43688
MULT,Hash,76,1.9e-07,226177,640000
MULT,Tree,76,1.9e-07,10934,0
TRANS,Hash,76,1.9e-07,27,0
TRANS,Tree,76,1.9e-07,27,0
ESCALAR,Hash,76,1.9e-07,50338,0
ESCALAR,Tree,76,1.9e-07,2290,0
SET,Hash,76,1.9e-07,21438,653376
SET,Tree,76,1.9e-07,49146,21888
GET,Hash,76,1.9e-07,3004,0
GET,Tree,76,1.9e-07,10345,0
SOMA,Hash,77,1.925e-07,339878,667472
SOMA,Tree,77,1.925e-07,112178,44176
MULT,Hash,77,1.925e-07,225255,640336
MULT,Tree,77,1.925e-07,11429,288
TRANS,Hash,77,1.925e-07,20,0
TRANS,Tree,77,1.925e-07,20,0
ESCALAR,Hash,77,1.925e-07,50712,0
ESCALAR,Tree,77,1.925e-07,2342,0
SET,Hash,77,1.925e-07,21910,653504
SET,Tree,77,1.925e-07,49202,22176
GET,Hash,77,1.925e-07,3414,0
GET,Tree,77,1.925e-07,9869,0
SOMA,Hash,78,1.95e-07,337648,667728
SOMA,Tree,78,1.95e-07,112890,44840
MULT,Hash,78,1.95e-07,244004,640336
MULT,Tree,78,1.95e-07,11933,288
TRANS,Hash,78,1.95e-07,20,0
TRANS,Tree,78,1.95e-07,18,0
ESCALAR,Hash,78,1.95e-07,50340,0
ESCALAR,Tree,78,1.95e-07,2520,0
SET,Hash,78,1.95e-07,22107,653632
SET,Tree,78,1.95e-07,51773,22464
GET,Hash,78,1.95e-07,3040,0
GET,Tree,78,1.95e-07,10599,0
SOMA,Hash,79,1.975e-07,337668,667984
SOMA,Tree,79,1.975e-07,115046,45416
MULT,Hash,79,1.975e-07,242409,640336
MULT,Tree,79,1.975e-07,12204,288
TRANS,Hash,79,1.975e-07,19,0
TRANS,Tree,79,1.975e-07,33,0
ESCALAR,Hash,79,1.975e-07,50346,0
ESCALAR,Tree,79,1.975e-07,2407,0
SET,Hash,79,1.975e-07,22133,653760
SET,Tree,79,1.975e-07,53074,22752
GET,Hash,79,1.975e-07,3382,0
GET,Tree,79,1.975e-07,11074,0
SOMA,Hash,80,2e-07,340513,668240
SOMA,Tree,80,2e-07,118903,46080
MULT,Hash,80,2e-07,245138,640000
MULT,Tree,80,2e-07,11970,0
TRANS,Hash,80,2e-07,20,0
TRANS,Tree,80,2e-07,20,0
ESCALAR,Hash,80,2e-07,50546,0
ESCALAR,Tree,80,2e-07,2395,0
SET,Hash,80,2e-07,23668,653888
SET,Tree,80,2e-07,52995,23040
GET,Hash,80,2e-07,3278,0
GET,Tree,80,2e-07,10916,0
SOMA,Hash,81,2.025e-07,343441,668496
SOMA,Tree,81,2.025e-07,117068,46568
MULT,Hash,81,2.025e-07,244930,640000
MULT,Tree,81,2.025e-07,12066,0
TRANS,Hash,81,2.025e-07,20,0
TRANS,Tree,81,2.025e-07,23,0
ESCALAR,Hash,81,2.025e-07,50309,0
ESCALAR,Tree,81,2.025e-07,2405,0
SET,Hash,81,2.025e-07,24855,654016
SET,Tree,81,2.025e-07,53615,23328
GET,Hash,81,2.025e-07,3539,0
GET,Tree,81,2.025e-07,10800,0
SOMA,Hash,82,2.05e-07,335770,668752
SOMA,Tree,82,2.05e-07,120083,47056
MULT,Hash,82,2.05e-07,243102,640336
MULT,Tree,82,2.05e-07,12494,288
TRANS,Hash,82,2.05e-07,21,0
TRANS,Tree,82,2.05e-07,21,0
ESCALAR,Hash,82,2.05e-07,50303,0
ESCALAR,Tree,82,2.05e-07,2463,0
SET,Hash,82,2.05e-07,24318,654144
SET,Tree,82,2.05e-07,53783,23528
GET,Hash,82,2.05e-07,3457,0
GET,Tree,82,2.05e-07,11222,0
SOMA,Hash,83,2.075e-07,342291,669008
SOMA,Tree,83,2.075e-07,120274,47632
MULT,Hash,83,2.075e-07,247616,640000
MULT,Tree,83,2.075e-07,12238,0
TRANS,Hash,83,2.075e-07,24,0
TRANS,Tree,83,2.075e-07,24,0
ESCALAR,Hash,83,2.075e-07,50647,0
ESCALAR,Tree,83,2.075e-07,2455,0
SET,Hash,83,2.075e-07,24600,654272
SET,Tree,83,2.075e-07,55550,23904
GET,Hash,83,2.075e-07,3556,0
GET,Tree,83,2.075e-07,11236,0
SOMA,Hash,84,2.1e-07,338639,669264
SOMA,Tree,84,2.1e-07,126952,48208
MULT,Hash,84,2.1e-07,226845,640336
MULT,Tree,84,2.1e-07,12808,288
TRANS,Hash,84,2.1e-07,20,0
TRANS,Tree,84,2.1e-07,33,0
ESCALAR,Hash,84,2.1e-07,65395,0
ESCALAR,Tree,84,2.1e-07,2711,0
SET,Hash,84,2.1e-07,23876,654400
SET,Tree,84,2.1e-07,57692,24192
GET,Hash,84,2.1e-07,3347,0
GET,Tree,84,2.1e-07,12206,0
SOMA,Hash,85,2.125e-07,349772,669520
SOMA,Tree,85,2.125e-07,125232,48784
MULT,Hash,85,2.125e-07,247998,640336
MULT,Tree,85,2.125e-07,12969,288
TRANS,Hash,85,2.125e-07,20,0
TRANS,Tree,85,2.125e-07,27,0
ESCALAR,Hash,85,2.125e-07,50587,0
ESCALAR,Tree,85,2.125e-07,2536,0
SET,Hash,85,2.125e-07,24908,654528
SET,Tree,85,2.125e-07,56075,24480
GET,Hash,85,2.125e-07,3494,0
GET,Tree,85,2.125e-07,11686,0
SOMA,Hash,86,2.15e-07,337045,669776
SOMA,Tree,86,2.15e-07,124131,49448
MULT,Hash,86,2.15e-07,242449,640000
MULT,Tree,86,2.15e-07,12597,0
TRANS,Hash,86,2.15e-07,20,0
TRANS,Tree,86,2.15e-07,28,0
ESCALAR,Hash,86,2.15e-07,50579,0
ESCALAR,Tree,86,2.15e-07,2698,0
SET,Hash,86,2.15e-07,23458,654656
SET,Tree,86,2.15e-07,55004,24768
GET,Hash,86,2.15e-07,3480,0
GET,Tree,86,2.15e-07,11169,0
SOMA,Hash,87,2.175e-07,342138,670032
SOMA,Tree,87,2.175e-07,127451,50024
MULT,Hash,87,2.175e-07,222166,640000
MULT,Tree,87,2.175e-07,13177,0
TRANS,Hash,87,2.175e-07,20,0
TRANS,Tree,87,2.175e-07,28,0
ESCALAR,Hash,87,2.175e-07,50479,0
ESCALAR,Tree,87,2.175e-07,2601,0
SET,Hash,87,2.175e-07,24283,654784
SET,Tree,87,2.175e-07,57718,25056
GET,Hash,87,2.175e-07,3646,0
GET,Tree,87,2.175e-07,11871,0
SOMA,Hash,88,2.2e-07,345979,670288
SOMA,Tree,88,2.2e-07,129805,50424
MULT,Hash,88,2.2e-07,226269,640000
MULT,Tree,88,2.2e-07,13438,0
TRANS,Hash,88,2.2e-07,19,0
TRANS,Tree,88,2.2e-07,31,0
ESCALAR,Hash,88,2.2e-07,50548,0
ESCALAR,Tree,88,2.2e-07,2573,0
SET,Hash,88,2.2e-07,25143,654912
SET,Tree,88,2.2e-07,57480,25344
GET,Hash,88,2.2e-07,3611,0
GET,Tree,88,2.2e-07,11576,0
SOMA,Hash,89,2.225e-07,344995,670544
SOMA,Tree,89,2.225e-07,134342,51264
MULT,Hash,89,2.225e-07,244459,640000
MULT,Tree,89,2.225e-07,13472,0
TRANS,Hash,89,2.225e-07,27,0
TRANS,Tree,89,2.225e-07,19,0
ESCALAR,Hash,89,2.225e-07,50573,0
ESCALAR,Tree,89,2.225e-07,2755,0
SET,Hash,89,2.225e-07,25555,655040
SET,Tree,89,2.225e-07,58612,25544
GET,Hash,89,2.225e-07,3516,0
GET,Tree,89,2.225e-07,11945,0
SOMA,Hash,90,2.25e-07,342148,670800
SOMA,Tree,90,2.25e-07,132112,51840
MULT,Hash,90,2.25e-07,248483,640000
MULT,Tree,90,2.25e-07,13281,0
TRANS,Hash,90,2.25e-07,20,0
TRANS,Tree,90,2.25e-07,26,0
ESCALAR,Hash,90,2.25e-07,50521,0
ESCALAR,Tree,90,2.25e-07,2586,0
SET,Hash,90,2.25e-07,26550,655168
SET,Tree,90,2.25e-07,62139,25656
GET,Hash,90,2.25e-07,3908,0
GET,Tree,90,2.25e-07,12414,0
SOMA,Hash,91,2.275e-07,342523,671056
SOMA,Tree,91,2.275e-07,137017,52416
MULT,Hash,91,2.275e-07,244917,640464
MULT,Tree,91,2.275e-07,14565,576
TRANS,Hash,91,2.275e-07,19,0
TRANS,Tree,91,2.275e-07,23,0
ESCALAR,Hash,91,2.275e-07,50599,0
ESCALAR,Tree,91,2.275e-07,2739,0
SET,Hash,91,2.275e-07,24924,655296
SET,Tree,91,2.275e-07,59946,26208
GET,Hash,91,2.275e-07,3626,0
GET,Tree,91,2.275e-07,12298,0
SOMA,Hash,92,2.3e-07,344803,671312
SOMA,Tree,92,2.3e-07,135281,52728
MULT,Hash,92,2.3e-07,245067,640464
MULT,Tree,92,2.3e-07,14700,576
TRANS,Hash,92,2.3e-07,21,0
TRANS,Tree,92,2.3e-07,23,0
ESCALAR,Hash,92,2.3e-07,72155,0
ESCALAR,Tree,92,2.3e-07,2691,0
SET,Hash,92,2.3e-07,26166,655424
SET,Tree,92,2.3e-07,61966,26496
GET,Hash,92,2.3e-07,3768,0
GET,Tree,92,2.3e-07,13059,0
SOMA,Hash,93,2.325e-07,351827,671568
SOMA,Tree,93,2.325e-07,135510,53480
MULT,Hash,93,2.325e-07,244609,640464
MULT,Tree,93,2.325e-07,15339,576
TRANS,Hash,93,2.325e-07,30,0
TRANS,Tree,93,2.325e-07,24,0
ESCALAR,Hash,93,2.325e-07,50487,0
ESCALAR,Tree,93,2.325e-07,2866,0
SET,Hash,93,2.325e-07,26065,655552
SET,Tree,93,2.325e-07,62104,26784
GET,Hash,93,2.325e-07,3664,0
GET,Tree,93,2.325e-07,12879,0
SOMA,Hash,94,2.35e-07,344263,671824
SOMA,Tree,94,2.35e-07,135269,53792
MULT,Hash,94,2.35e-07,243575,640000
MULT,Tree,94,2.35e-07,14304,0
TRANS,Hash,94,2.35e-07,21,0
TRANS,Tree,94,2.35e-07,24,0
ESCALAR,Hash,94,2.35e-07,50501,0
ESCALAR,Tree,94,2.35e-07,2910,0
SET,Hash,94,2.35e-07,27459,655680
SET,Tree,94,2.35e-07,62953,27072
GET,Hash,94,2.35e-07,4162,0
GET,Tree,94,2.35e-07,12708,0
SOMA,Hash,95,2.375e-07,352734,672080
SOMA,Tree,95,2.375e-07,139210,54720
MULT,Hash,95,2.375e-07,249682,640464
MULT,Tree,95,2.375e-07,15486,576
TRANS,Hash,95,2.375e-07,20,0
TRANS,Tree,95,2.375e-07,23,0
ESCALAR,Hash,95,2.375e-07,50421,0
ESCALAR,Tree,95,2.375e-07,2823,0
SET,Hash,95,2.375e-07,27474,655808
SET,Tree,95,2.375e-07,64565,27360
GET,Hash,95,2.375e-07,3961,0
GET,Tree,95,2.375e-07,13203,0
SOMA,Hash,96,2.4e-07,347174,672336
SOMA,Tree,96,2.4e-07,141605,55296
MULT,Hash,96,2.4e-07,250304,640000
MULT,Tree,96,2.4e-07,14661,0
TRANS,Hash,96,2.4e-07,21,0
TRANS,Tree,96,2.4e-07,20,0
ESCALAR,Hash,96,2.4e-07,50532,0
ESCALAR,Tree,96,2.4e-07,2843,0
SET,Hash,96,2.4e-07,26183,655936
SET,Tree,96,2.4e-07,62043,27648
GET,Hash,96,2.4e-07,4461,0
GET,Tree,96,2.4e-07,12936,0
SOMA,Hash,97,2.425e-07,349812,672592
SOMA,Tree,97,2.425e-07,145332,55696
MULT,Hash,97,2.425e-07,243201,640000
MULT,Tree,97,2.425e-07,14582,0
TRANS,Hash,97,2.425e-07,20,0
TRANS,Tree,97,2.425e-07,27,0
ESCALAR,Hash,97,2.425e-07,50570,0
ESCALAR,Tree,97,2.425e-07,2802,0
SET,Hash,97,2.425e-07,26476,656064
SET,Tree,97,2.425e-07,62601,27936
GET,Hash,97,2.425e-07,3932,0
GET,Tree,97,2.425e-07,12777,0
SOMA,Hash,98,2.45e-07,347899,672848
SOMA,Tree,98,2.45e-07,143748,56360
MULT,Hash,98,2.45e-07,246004,640464
MULT,Tree,98,2.45e-07,15854,576
TRANS,Hash,98,2.45e-07,21,0
TRANS,Tree,98,2.45e-07,31,0
ESCALAR,Hash,98,2.45e-07,51038,0
ESCALAR,Tree,98,2.45e-07,3071,0
SET,Hash,98,2.45e-07,27292,656192
SET,Tree,98,2.45e-07,65577,28048
GET,Hash,98,2.45e-07,4059,0
GET,Tree,98,2.45e-07,13563,0
SOMA,Hash,99,2.475e-07,347941,673104
SOMA,Tree,99,2.475e-07,145056,57024
MULT,Hash,99,2.475e-07,243819,640000
MULT,Tree,99,2.475e-07,15120,0
TRANS,Hash,99,2.475e-07,22,0
TRANS,Tree,99,2.475e-07,21,0
ESCALAR,Hash,99,2.475e-07,50506,0
ESCALAR,Tree,99,2.475e-07,2988,0
SET,Hash,99,2.475e-07,28492,656320
SET,Tree,99,2.475e-07,64353,28512
GET,Hash,99,2.475e-07,4226,0
GET,Tree,99,2.475e-07,13443,0
SOMA,Hash,100,2.5e-07,355050,673360
SOMA,Tree,100,2.5e-07,148400,57160
MULT,Hash,100,2.5e-07,247823,640336
MULT,Tree,100,2.5e-07,16358,288
TRANS,Hash,100,2.5e-07,28,0
TRANS,Tree,100,2.5e-07,24,0
ESCALAR,Hash,100,2.5e-07,50603,0
ESCALAR,Tree,100,2.5e-07,3179,0
SET,Hash,100,2.5e-07,27613,656448
SET,Tree,100,2.5e-07,66398,28800
GET,Hash,100,2.5e-07,4175,0
GET,Tree,100,2.5e-07,13660,0
SOMA,Hash,101,2.525e-07,354703,673616
SOMA,Tree,101,2.525e-07,149054,58088
MULT,Hash,101,2.525e-07,246146,640336
MULT,Tree,101,2.525e-07,15283,288
TRANS,Hash,101,2.525e-07,20,0
TRANS,Tree,101,2.525e-07,24,0
ESCALAR,Hash,101,2.525e-07,50725,0
ESCALAR,Tree,101,2.525e-07,2932,0
SET,Hash,101,2.525e-07,28598,656576
SET,Tree,101,2.525e-07,71378,29088
GET,Hash,101,2.525e-07,4473,0
GET,Tree,101,2.525e-07,14765,0
SOMA,Hash,102,2.55e-07,355999,673872
SOMA,Tree,102,2.55e-07,151150,58576
MULT,Hash,102,2.55e-07,246859,640336
MULT,Tree,102,2.55e-07,16153,288
TRANS,Hash,102,2.55e-07,19,0
TRANS,Tree,102,2.55e-07,24,0
ESCALAR,Hash,102,2.55e-07,50697,0
ESCALAR,Tree,102,2.55e-07,3044,0
SET,Hash,102,2.55e-07,28066,656704
SET,Tree,102,2.55e-07,68279,29288
GET,Hash,102,2.55e-07,4281,0
GET,Tree,102,2.55e-07,14352,0
SOMA,Hash,103,2.575e-07,346801,674128
SOMA,Tree,103,2.575e-07,151992,59152
MULT,Hash,103,2.575e-07,244788,640336
MULT,Tree,103,2.575e-07,16379,288
TRANS,Hash,103,2.575e-07,21,0
TRANS,Tree,103,2.575e-07,27,0
ESCALAR,Hash,103,2.575e-07,50946,0
ESCALAR,Tree,103,2.575e-07,2994,0
SET,Hash,103,2.575e-07,28352,656832
SET,Tree,103,2.575e-07,68792,29664
GET,Hash,103,2.575e-07,3976,0
