Operacao,Estrutura,N,Esparsidade,Tempo_ns,Memoria_Bytes
MULT,Est2(Tree),1000,0.1,6687475360,112171632
ESCALAR,Densa,1000,0.1,3514134,0
ESCALAR,Est1(Hash),1000,0.1,4012864,0
ESCALAR,Est2(Tree),1000,0.1,6209738,0
SET,Densa,1000,0.1,1094648,8032000
SET,Est1(Hash),1000,0.1,34877722,18284960
SET,Est2(Tree),1000,0.1,102840231,11376000
GET,Densa,1000,0.1,1108852,0
GET,Est1(Hash),1000,0.1,7854863,0
GET,Est2(Tree),1000,0.1,33589317,0
TRANS,Densa,1000,0.2,9019980,8032000
TRANS,Est1(Hash),1000,0.2,129,0
TRANS,Est2(Tree),1000,0.2,36,0
SOMA,Densa,1000,0.2,11723189,8032000
SOMA,Est1(Hash),1000,0.2,250469420,68585856
SOMA,Est2(Tree),1000,0.2,426083634,40496672
MULT,Densa,1000,0.2,7167155099,8032000
MULT,Est1(Hash),1000,0.2,3592120625,173659536
MULT,Est2(Tree),1000,0.2,24434682800,112176000
ESCALAR,Densa,1000,0.2,3496813,0
ESCALAR,Est1(Hash),1000,0.2,15502577,0
ESCALAR,Est2(Tree),1000,0.2,13775416,0
SET,Densa,1000,0.2,2169317,8032000
SET,Est1(Hash),1000,0.2,79354058,36701936
SET,Est2(Tree),1000,0.2,219929606,22576000
GET,Densa,1000,0.2,2170869,0
GET,Est1(Hash),1000,0.2,20290072,0
GET,Est2(Tree),1000,0.2,73175240,0
TRANS,Densa,10000,1e-08,1167388460,800320000
TRANS,Est1(Hash),10000,1e-08,27,0
TRANS,Est2(Tree),10000,1e-08,34,0
SOMA,Densa,10000,1e-08,1305658616,800320000
SOMA,Est1(Hash),10000,1e-08,137927,320464
SOMA,Est2(Tree),10000,1e-08,1922,576
MULT,Densa,10000,1e-08,-1,0
MULT,Est1(Hash),10000,1e-08,109823,320000
MULT,Est2(Tree),10000,1e-08,384,0
ESCALAR,Densa,10000,1e-08,347699284,0
ESCALAR,Est1(Hash),10000,1e-08,25010,0
ESCALAR,Est2(Tree),10000,1e-08,535,0
SET,Densa,10000,1e-08,833,800320000
SET,Est1(Hash),10000,1e-08,2133,320336
SET,Est2(Tree),10000,1e-08,2504,288
GET,Densa,10000,1e-08,386,0
GET,Est1(Hash),10000,1e-08,205,0
GET,Est2(Tree),10000,1e-08,246,0
TRANS,Densa,10000,1e-07,1166743490,800320000
TRANS,Est1(Hash),10000,1e-07,37,0
TRANS,Est2(Tree),10000,1e-07,102,0
SOMA,Densa,10000,1e-07,1301568060,800320000
SOMA,Est1(Hash),10000,1e-07,144689,323232
SOMA,Est2(Tree),10000,1e-07,13600,5760
MULT,Densa,10000,1e-07,-1,0
MULT,Est1(Hash),10000,1e-07,110975,320000
MULT,Est2(Tree),10000,1e-07,1741,0
ESCALAR,Densa,10000,1e-07,347681512,0
ESCALAR,Est1(Hash),10000,1e-07,24944,0
ESCALAR,Est2(Tree),10000,1e-07,705,0
SET,Densa,10000,1e-07,1867,800320000
SET,Est1(Hash),10000,1e-07,7695,321488
SET,Est2(Tree),10000,1e-07,10269,2880
GET,Densa,10000,1e-07,257,0
GET,Est1(Hash),10000,1e-07,732,0
GET,Est2(Tree),10000,1e-07,1468,0
TRANS,Densa,10000,1e-06,1180962053,800320000
TRANS,Est1(Hash),10000,1e-06,36,0
TRANS,Est2(Tree),10000,1e-06,35,0
SOMA,Densa,10000,1e-06,1303643760,800320000
SOMA,Est1(Hash),10000,1e-06,192835,353360
SOMA,Est2(Tree),10000,1e-06,150095,57248
MULT,Densa,10000,1e-06,-1,0
MULT,Est1(Hash),10000,1e-06,113782,320336
MULT,Est2(Tree),10000,1e-06,16222,288
ESCALAR,Densa,10000,1e-06,348269668,0
ESCALAR,Est1(Hash),10000,1e-06,26162,0
ESCALAR,Est2(Tree),10000,1e-06,3523,0
SET,Densa,10000,1e-06,9922,800320000
SET,Est1(Hash),10000,1e-06,35712,336448
SET,Est2(Tree),10000,1e-06,69805,28624
GET,Densa,10000,1e-06,1192,0
GET,Est1(Hash),10000,1e-06,5115,0
GET,Est2(Tree),10000,1e-06,14289,0
TRANS,Densa,100000,1e-09,-1,0
TRANS,Est1(Hash),100000,1e-09,129,0
TRANS,Est2(Tree),100000,1e-09,43,0
SOMA,Densa,100000,1e-09,-1,0
SOMA,Est1(Hash),100000,1e-09,1885239,3203232
SOMA,Est2(Tree),100000,1e-09,14766,5760
MULT,Densa,100000,1e-09,-1,0
MULT,Est1(Hash),100000,1e-09,1108791,3200000
MULT,Est2(Tree),100000,1e-09,1802,0
ESCALAR,Densa,100000,1e-09,-1,0
ESCALAR,Est1(Hash),100000,1e-09,247357,0
ESCALAR,Est2(Tree),100000,1e-09,600,0
SET,Densa,100000,1e-09,-1,0
SET,Est1(Hash),100000,1e-09,3773,3201488
SET,Est2(Tree),100000,1e-09,6864,2880
GET,Densa,100000,1e-09,-1,0
GET,Est1(Hash),100000,1e-09,636,0
GET,Est2(Tree),100000,1e-09,1320,0
TRANS,Densa,100000,1e-08,-1,0
TRANS,Est1(Hash),100000,1e-08,18,0
TRANS,Est2(Tree),100000,1e-08,19,0
SOMA,Densa,100000,1e-08,-1,0
SOMA,Est1(Hash),100000,1e-08,1416871,3233360
SOMA,Est2(Tree),100000,1e-08,166666,57600
MULT,Densa,100000,1e-08,-1,0
MULT,Est1(Hash),100000,1e-08,1106310,3200000
MULT,Est2(Tree),100000,1e-08,15130,0
ESCALAR,Densa,100000,1e-08,-1,0
ESCALAR,Est1(Hash),100000,1e-08,248963,0
ESCALAR,Est2(Tree),100000,1e-08,3373,0
SET,Densa,100000,1e-08,-1,0
SET,Est1(Hash),100000,1e-08,29000,3216448
SET,Est2(Tree),100000,1e-08,66881,28800
GET,Densa,100000,1e-08,-1,0
GET,Est1(Hash),100000,1e-08,4614,0
GET,Est2(Tree),100000,1e-08,13507,0
TRANS,Densa,100000,1e-07,-1,0
TRANS,Est1(Hash),100000,1e-07,19,0
TRANS,Est2(Tree),100000,1e-07,20,0
SOMA,Densa,100000,1e-07,-1,0
SOMA,Est1(Hash),100000,1e-07,1902401,3527872
SOMA,Est2(Tree),100000,1e-07,1717589,572216
MULT,Densa,100000,1e-07,-1,0
MULT,Est1(Hash),100000,1e-07,1235758,3201488
MULT,Est2(Tree),100000,1e-07,198261,2792
ESCALAR,Densa,100000,1e-07,-1,0
ESCALAR,Est1(Hash),100000,1e-07,260881,0
ESCALAR,Est2(Tree),100000,1e-07,29226,0
SET,Densa,100000,1e-07,-1,0
SET,Est1(Hash),100000,1e-07,249446,3362160
SET,Est2(Tree),100000,1e-07,731005,286504
GET,Densa,100000,1e-07,-1,0
GET,Est1(Hash),100000,1e-07,44520,0
GET,Est2(Tree),100000,1e-07,221737,0
TRANS,Densa,1000000,1e-10,-1,0
TRANS,Est1(Hash),1000000,1e-10,23,0
TRANS,Est2(Tree),1000000,1e-10,159,0
SOMA,Densa,1000000,1e-10,-1,0
SOMA,Est1(Hash),1000000,1e-10,18888160,32033360
SOMA,Est2(Tree),1000000,1e-10,161068,57600
MULT,Densa,1000000,1e-10,-1,0
MULT,Est1(Hash),1000000,1e-10,16204212,32000000
MULT,Est2(Tree),1000000,1e-10,18745,0
ESCALAR,Densa,1000000,1e-10,-1,0
ESCALAR,Est1(Hash),1000000,1e-10,2510011,0
ESCALAR,Est2(Tree),1000000,1e-10,3556,0
SET,Densa,1000000,1e-10,-1,0
SET,Est1(Hash),1000000,1e-10,51789,32016448
SET,Est2(Tree),1000000,1e-10,68152,28800
GET,Densa,1000000,1e-10,-1,0
GET,Est1(Hash),1000000,1e-10,5590,0
GET,Est2(Tree),1000000,1e-10,13886,0
TRANS,Densa,1000000,1e-09,-1,0
TRANS,Est1(Hash),1000000,1e-09,54,0
TRANS,Est2(Tree),1000000,1e-09,57,0
